V1	V2	V3
Emi_CO2_Ene_and_Ind_Pro	Emissions|CO2|Energy and Industrial Processes	Mt CO2/yr
Fin_Ene	Final Energy	EJ/yr
GDP_MER	GDP|MER	billion US$2010/yr
POP	Population	Million
Prc_Car	Price|Carbon	US$2010/t CO2
Prc_Prm_Ene_Oil	Price|Primary Energy|Oil	US$2010/GJ
Prc_Sec_Ene_Ele	Price|Secondary Energy|Electricity	US$2010/GJ
Prm_Ene	Primary Energy	EJ/yr
Prm_Ene_Bio	Primary Energy|Biomass	EJ/yr
Prm_Ene_Coa	Primary Energy|Coal	EJ/yr
Prm_Ene_Fos	Primary Energy|Fossil	EJ/yr
Prm_Ene_Fos_w_CCS	Primary Energy|Fossil|w/ CCS	EJ/yr
Prm_Ene_Fos_wo_CCS	Primary Energy|Fossil|w/o CCS	EJ/yr
Prm_Ene_Gas	Primary Energy|Gas	EJ/yr
Prm_Ene_NonBioRen	Primary Energy|Non-Biomass Renewables	EJ/yr
Prm_Ene_Nuc	Primary Energy|Nuclear	EJ/yr
Prm_Ene_Oil	Primary Energy|Oil	EJ/yr
Prm_Ene_Oth	Primary Energy|Other	EJ/yr
Sec_Ene_Ele	Secondary Energy|Electricity	EJ/yr
Sec_Ene_Ele_Bio	Secondary Energy|Electricity|Biomass	EJ/yr
Sec_Ene_Ele_Coa	Secondary Energy|Electricity|Coal	EJ/yr
Sec_Ene_Ele_Gas	Secondary Energy|Electricity|Gas	EJ/yr
Sec_Ene_Ele_NonBioRen	Secondary Energy|Electricity|Non-Biomass Renewables	EJ/yr
Sec_Ene_Ele_Nuc	Secondary Energy|Electricity|Nuclear	EJ/yr
Sec_Ene_Ele_Oil	Secondary Energy|Electricity|Oil	EJ/yr
Sec_Ene_Ele_Oth	Secondary Energy|Electricity|Other	EJ/yr
Sec_Ene_Liq	Secondary Energy|Liquids	EJ/yr
Pol_Cos_Add_Tot_Ene_Sys_Cos	Policy Cost|Additional Total Energy System Cost	billion US$2010/yr
Pol_Cos_Are_und_MAC_Cur	Policy Cost|Area under MAC Curve	billion US$2010/yr
Pol_Cos_Cns_Los	Policy Cost|Consumption Loss	billion US$2010/yr
Pol_Cos_Equ_Var	Policy Cost|Equivalent Variation	billion US$2010/yr
Pol_Cos_GDP_Los	Policy Cost|GDP Loss	billion US$2010/yr
Pol_Cos_Oth	Policy Cost|Other	billion US$2010/yr
Cnc_CO2	Concentration|CO2	ppm
CNS	Consumption	billion US$2010/yr
Car_Seq_CCS	Carbon Sequestration|CCS	Mt CO2/yr
Emi_F_G	Emissions|F-Gases	Mt CO2-equiv/yr
Fin_Ene_Ele	Final Energy|Electricity	EJ/yr
Fin_Ene_Gas	Final Energy|Gases	EJ/yr
Fin_Ene_Geo	Final Energy|Geothermal	EJ/yr
Fin_Ene_Heat	Final Energy|Heat	EJ/yr
Fin_Ene_Hyd	Final Energy|Hydrogen	EJ/yr
Fin_Ene_Ind	Final Energy|Industry	EJ/yr
Fin_Ene_Ind_Ele	Final Energy|Industry|Electricity	EJ/yr
Fin_Ene_Ind_Gas	Final Energy|Industry|Gases	EJ/yr
Fin_Ene_Ind_Heat	Final Energy|Industry|Heat	EJ/yr
Fin_Ene_Ind_Hyd	Final Energy|Industry|Hydrogen	EJ/yr
Fin_Ene_Ind_Liq	Final Energy|Industry|Liquids	EJ/yr
Fin_Ene_Ind_Oth	Final Energy|Industry|Other	EJ/yr
Fin_Ene_Ind_Solids	Final Energy|Industry|Solids	EJ/yr
Fin_Ene_Liq	Final Energy|Liquids	EJ/yr
Fin_Ene_Oth	Final Energy|Other	EJ/yr
Fin_Ene_Oth_Sec	Final Energy|Other Sector	EJ/yr
Fin_Ene_Res_and_Com	Final Energy|Residential and Commercial	EJ/yr
Fin_Ene_Res_and_Com_Ele	Final Energy|Residential and Commercial|Electricity	EJ/yr
Fin_Ene_Res_and_Com_Gas	Final Energy|Residential and Commercial|Gases	EJ/yr
Fin_Ene_Res_and_Com_Heat	Final Energy|Residential and Commercial|Heat	EJ/yr
Fin_Ene_Res_and_Com_Hyd	Final Energy|Residential and Commercial|Hydrogen	EJ/yr
Fin_Ene_Res_and_Com_Liq	Final Energy|Residential and Commercial|Liquids	EJ/yr
Fin_Ene_Res_and_Com_Oth	Final Energy|Residential and Commercial|Other	EJ/yr
Fin_Ene_Res_and_Com_Solids	Final Energy|Residential and Commercial|Solids	EJ/yr
Fin_Ene_Solar	Final Energy|Solar	EJ/yr
Fin_Ene_Solids	Final Energy|Solids	EJ/yr
Fin_Ene_Tra	Final Energy|Transportation	EJ/yr
Fin_Ene_Tra_Ele	Final Energy|Transportation|Electricity	EJ/yr
Fin_Ene_Tra_Gas	Final Energy|Transportation|Gases	EJ/yr
Fin_Ene_Tra_Hyd	Final Energy|Transportation|Hydrogen	EJ/yr
Fin_Ene_Tra_Liq	Final Energy|Transportation|Liquids	EJ/yr
Fin_Ene_Tra_Liq_Bio	Final Energy|Transportation|Liquids|Biomass	EJ/yr
Fin_Ene_Tra_Liq_Coa	Final Energy|Transportation|Liquids|Coal	EJ/yr
Fin_Ene_Tra_Liq_Nat_Gas	Final Energy|Transportation|Liquids|Natural Gas	EJ/yr
Fin_Ene_Tra_Liq_Oil	Final Energy|Transportation|Liquids|Oil	EJ/yr
Fin_Ene_Tra_Oth	Final Energy|Transportation|Other	EJ/yr
Frc	Forcing	W/m2
Frc_AN3	Forcing|AN3A	W/m2
Frc_CO2	Forcing|CO2	W/m2
GDP_PPP	GDP|PPP	billion US$2010/yr
Inv_Ene_Dem_Eff_and_Dec	Investment|Energy Demand|Efficiency and Decarbonization	billion US$2010/yr
