V1	V2
Pol_Cos_Cns_Los_rat	1
Fin_Ene	1
Fin_Ene_Ele	1
Fin_Ene_Gas	1
Fin_Ene_Liq_and_Gas	1
Fin_Ene_Ind	1
Fin_Ene_Ind_Ele	2
Fin_Ene_Ind_Ele_Heat	2
Fin_Ene_Ind_Gas	2
Fin_Ene_Ind_Liq	2
Fin_Ene_Ind_Solids	2
Fin_Ene_Ind_SolidsBio	2
Fin_Ene_Ind_SolidsCoa	2
Fin_Ene_Liq	1
Fin_Ene_NonEneUse	2
Fin_Ene_NonEneUse_Gas	2
Fin_Ene_NonEneUse_Oil	2
Fin_Ene_Res_and_Com	1
Fin_Ene_Res_and_Com_Ele	2
Fin_Ene_Res_and_Com_Gas	2
Fin_Ene_Res_and_Com_Liq_Oil	2
Fin_Ene_Res_and_Com_Solids	2
Fin_Ene_Res_and_Com_SolidsBio	2
Fin_Ene_Res_and_Com_SolidsBio_Tra	2
Fin_Ene_Res_and_Com_SolidsCoa	2
Fin_Ene_Res	1
Fin_Ene_Res_Ele	2
Fin_Ene_Res_Ele_Heat	2
Fin_Ene_Res_Gas	2
Fin_Ene_Res_Liq	2
Fin_Ene_Res_Solids	2
Fin_Ene_Res_SolidsBio	2
Fin_Ene_Res_SolidsCoa	2
Fin_Ene_Com	1
Fin_Ene_Com_Ele	2
Fin_Ene_Com_Gas	2
Fin_Ene_Com_Liq	2
Fin_Ene_Com_Solids	2
Fin_Ene_Com_SolidsBio	2
Fin_Ene_Com_SolidsCoa	2
Fin_Ene_Com_Ele_Heat	2
Fin_Ene_Solids	1
Fin_Ene_SolidsBio	1
Fin_Ene_SolidsBio_Tra	2
Fin_Ene_SolidsCoa	1
Fin_Ene_Tra	1
Fin_Ene_Tra_Ele	2
Fin_Ene_Tra_Liq	2
Fin_Ene_Tra_Liq_Bio	1
Fin_Ene_Tra_Liq_Oil	2
Fin_Ene_Tra_Roa	1
Fin_Ene_Tra_Rai	1
Fin_Ene_Tra_Shi	1
Fin_Ene_Tra_Avi	1
Fin_Ene_Tra_Gas	1
GDP_MER	1
POP	1
Tem_Glo_Mea	1
Sec_Ene	1
Sec_Ene_Ele	1
Sec_Ene_Ele_Bio	1
Sec_Ene_Ele_Bio_wo_CCS	2
Sec_Ene_Ele_Coa	1
Sec_Ene_Ele_Coa_wo_CCS	2
Sec_Ene_Ele_Fos	1
Sec_Ene_Ele_Fos_wo_CCS	2
Sec_Ene_Ele_Gas	1
Sec_Ene_Ele_Gas_wo_CCS	2
Sec_Ene_Ele_Geo	1
Sec_Ene_Ele_Hyd	1
Sec_Ene_Ele_NonBioRen	1
Sec_Ene_Ele_Nuc	1
Sec_Ene_Ele_Oil	1
Sec_Ene_Ele_Oil_wo_CCS	2
Sec_Ene_Ele_Solar	1
Sec_Ene_Ele_SolarPV	2
Sec_Ene_Ele_Win	1
Sec_Ene_Ele_Win_Ons	2
Sec_Ene_Gas	1
Sec_Ene_Gas_Nat_Gas	2
Sec_Ene_Liq	1
